Name,ID,Condition,Trial,Peek
Kidogo,1,control,1,lp
Kidogo,1,control,2,lp
Kidogo,1,control,3,lp
Kidogo,1,control,4,lp
Kidogo,1,control,5,lp
Kidogo,1,control,6,lp
Kidogo,1,control,7,lp
Kidogo,1,control,8,lp
Kidogo,1,control,9,lp
Kidogo,1,control,10,lp
Kidogo,1,control,11,lp
Kidogo,1,control,12,lp
Kidogo,1,test,1,lp
Kidogo,1,test,2,lp
Kidogo,1,test,3,lp
Kidogo,1,test,4,lp
Kidogo,1,test,5,lp
Kidogo,1,test,6,lp
Kidogo,1,test,7,lp
Kidogo,1,test,8,lp
Kidogo,1,test,9,lp
Kidogo,1,test,10,lp
Kidogo,1,test,11,lp
Kidogo,1,test,12,lp
Pasa,2,test,1,lp
Pasa,2,test,2,lp
Pasa,2,test,3,hp
Pasa,2,test,4,lp
Pasa,2,test,5,lp
Pasa,2,test,6,lp
Pasa,2,test,7,lp
Pasa,2,test,8,lp
Pasa,2,test,9,lp
Pasa,2,test,10,lp
Pasa,2,test,11,np
Pasa,2,test,12,lp
Pasa,2,control,1,lp
Pasa,2,control,2,lp
Pasa,2,control,3,lp
Pasa,2,control,4,lp
Pasa,2,control,5,np
Pasa,2,control,6,lp
Pasa,2,control,7,lp
Pasa,2,control,8,lp
Pasa,2,control,9,lp
Pasa,2,control,10,np
Pasa,2,control,11,lp
Pasa,2,control,12,lp
Nkhumwa,3,test,1,lp
Nkhumwa,3,test,2,hp
Nkhumwa,3,test,3,hp
Nkhumwa,3,test,4,hp
Nkhumwa,3,test,5,hp
Nkhumwa,3,test,6,lp
Nkhumwa,3,test,7,lp
Nkhumwa,3,test,8,lp
Nkhumwa,3,test,9,hp
Nkhumwa,3,test,10,hp
Nkhumwa,3,test,11,lp
Nkhumwa,3,test,12,lp
Nkhumwa,3,control,1,lp
Nkhumwa,3,control,2,lp
Nkhumwa,3,control,3,lp
Nkhumwa,3,control,4,lp
Nkhumwa,3,control,5,lp
Nkhumwa,3,control,6,lp
Nkhumwa,3,control,7,hp
Nkhumwa,3,control,8,hp
Nkhumwa,3,control,9,lp
Nkhumwa,3,control,10,lp
Nkhumwa,3,control,11,lp
Nkhumwa,3,control,12,lp
Nani,4,control,1,lp
Nani,4,control,2,hp
Nani,4,control,3,lp
Nani,4,control,4,hp
Nani,4,control,5,hp
Nani,4,control,6,lp
Nani,4,control,7,hp
Nani,4,control,8,lp
Nani,4,control,9,hp
Nani,4,control,10,lp
Nani,4,control,11,hp
Nani,4,control,12,hp
Nani,4,test,1,hp
Nani,4,test,2,lp
Nani,4,test,3,hp
Nani,4,test,4,lp
Nani,4,test,5,hp
Nani,4,test,6,hp
Nani,4,test,7,hp
Nani,4,test,8,hp
Nani,4,test,9,hp
Nani,4,test,10,hp
Nani,4,test,11,hp
Nani,4,test,12,hp
Rototo,5,control,1,hp
Rototo,5,control,2,hp
Rototo,5,control,3,hp
Rototo,5,control,4,hp
Rototo,5,control,5,hp
Rototo,5,control,6,hp
Rototo,5,control,7,hp
Rototo,5,control,8,hp
Rototo,5,control,9,hp
Rototo,5,control,10,hp
Rototo,5,control,11,lp
Rototo,5,control,12,hp
Rototo,5,test,1,hp
Rototo,5,test,2,hp
Rototo,5,test,3,hp
Rototo,5,test,4,hp
Rototo,5,test,5,hp
Rototo,5,test,6,hp
Rototo,5,test,7,hp
Rototo,5,test,8,hp
Rototo,5,test,9,hp
Rototo,5,test,10,hp
Rototo,5,test,11,hp
Rototo,5,test,12,hp
Medina,6,control,1,np
Medina,6,control,2,np
Medina,6,control,3,lp
Medina,6,control,4,hp
Medina,6,control,5,lp
Medina,6,control,6,lp
Medina,6,control,7,lp
Medina,6,control,8,lp
Medina,6,control,9,lp
Medina,6,control,10,lp
Medina,6,control,11,lp
Medina,6,control,12,lp
Medina,6,test,1,hp
Medina,6,test,2,hp
Medina,6,test,3,hp
Medina,6,test,4,hp
Medina,6,test,5,lp
Medina,6,test,6,hp
Medina,6,test,7,hp
Medina,6,test,8,lp
Medina,6,test,9,hp
Medina,6,test,10,hp
Medina,6,test,11,hp
Medina,6,test,12,hp
Namukhisa,7,test,1,hp
Namukhisa,7,test,2,lp
Namukhisa,7,test,3,hp
Namukhisa,7,test,4,hp
Namukhisa,7,test,5,hp
Namukhisa,7,test,6,hp
Namukhisa,7,test,7,hp
Namukhisa,7,test,8,hp
Namukhisa,7,test,9,hp
Namukhisa,7,test,10,hp
Namukhisa,7,test,11,hp
Namukhisa,7,test,12,hp
Namukhisa,7,control,1,lp
Namukhisa,7,control,2,hp
Namukhisa,7,control,3,hp
Namukhisa,7,control,4,hp
Namukhisa,7,control,5,lp
Namukhisa,7,control,6,hp
Namukhisa,7,control,7,lp
Namukhisa,7,control,8,hp
Namukhisa,7,control,9,lp
Namukhisa,7,control,10,lp
Namukhisa,7,control,11,hp
Namukhisa,7,control,12,lp
Baluku,8,control,1,lp
Baluku,8,control,2,lp
Baluku,8,control,3,lp
Baluku,8,control,4,lp
Baluku,8,control,5,lp
Baluku,8,control,6,lp
Baluku,8,control,7,lp
Baluku,8,control,8,lp
Baluku,8,control,9,lp
Baluku,8,control,10,lp
Baluku,8,control,11,lp
Baluku,8,control,12,lp
Baluku,8,test,1,lp
Baluku,8,test,2,lp
Baluku,8,test,3,lp
Baluku,8,test,4,lp
Baluku,8,test,5,lp
Baluku,8,test,6,lp
Baluku,8,test,7,lp
Baluku,8,test,8,lp
Baluku,8,test,9,lp
Baluku,8,test,10,lp
Baluku,8,test,11,lp
Baluku,8,test,12,lp
Rambo,9,test,1,hp
Rambo,9,test,2,lp
Rambo,9,test,3,lp
Rambo,9,test,4,hp
Rambo,9,test,5,lp
Rambo,9,test,6,hp
Rambo,9,test,7,hp
Rambo,9,test,8,hp
Rambo,9,test,9,hp
Rambo,9,test,10,hp
Rambo,9,test,11,hp
Rambo,9,test,12,hp
Rambo,9,control,1,hp
Rambo,9,control,2,lp
Rambo,9,control,3,hp
Rambo,9,control,4,hp
Rambo,9,control,5,hp
Rambo,9,control,6,lp
Rambo,9,control,7,hp
Rambo,9,control,8,hp
Rambo,9,control,9,hp
Rambo,9,control,10,hp
Rambo,9,control,11,lp
Rambo,9,control,12,lp
Yoyo,10,test,1,lp
Yoyo,10,test,2,np
Yoyo,10,test,3,lp
Yoyo,10,test,4,lp
Yoyo,10,test,5,lp
Yoyo,10,test,6,lp
Yoyo,10,test,7,lp
Yoyo,10,test,8,lp
Yoyo,10,test,9,np
Yoyo,10,test,10,lp
Yoyo,10,test,11,lp
Yoyo,10,test,12,lp
Yoyo,10,control,1,lp
Yoyo,10,control,2,np
Yoyo,10,control,3,np
Yoyo,10,control,4,np
Yoyo,10,control,5,np
Yoyo,10,control,6,np
Yoyo,10,control,7,np
Yoyo,10,control,8,np
Yoyo,10,control,9,np
Yoyo,10,control,10,lp
Yoyo,10,control,11,lp
Yoyo,10,control,12,np
Nakuu,11,control,1,lp
Nakuu,11,control,2,lp
Nakuu,11,control,3,lp
Nakuu,11,control,4,lp
Nakuu,11,control,5,lp
Nakuu,11,control,6,lp
Nakuu,11,control,7,lp
Nakuu,11,control,8,hp
